LineString,Time,Amplitude,Decibels
"LINESTRING(-0.030453 51.523116, -0.030707 51.523655)",00:00,0.03666853,9.84458256
"LINESTRING(-0.030707 51.523655, -0.030718 51.523674)",00:14,0.03666853,9.84458256
"LINESTRING(-0.030718 51.523674, -0.030753 51.523739)",,0.03666853,9.84458256
"LINESTRING(-0.030753 51.523739, -0.030893 51.524)",,0.03666853,9.84458256
"LINESTRING(-0.030893 51.524, -0.031043 51.524279)",00:21,0.03666853,9.84458256
"LINESTRING(-0.031043 51.524279, -0.031117 51.524418)",,0.03666853,9.84458256
"LINESTRING(-0.031117 51.524418, -0.031159 51.524488)",,0.03666853,9.84458256
"LINESTRING(-0.031159 51.524488, -0.031305 51.524765)",00:31,0.03666853,9.84458256
"LINESTRING(-0.031305 51.524765, -0.031364 51.524833)",,0.03666853,9.84458256
"LINESTRING(-0.031364 51.524833, -0.03157 51.525266)",00:38,0.03666853,9.84458256
"LINESTRING(-0.03157 51.525266, -0.03159 51.525308)",,0.03666853,9.84458256
"LINESTRING(-0.03159 51.525308, -0.031742 51.525563)",00:47,0.03666853,9.84458256
"LINESTRING(-0.031742 51.525563, -0.031742 51.525563)",,0.03666853,9.84458256
"LINESTRING(-0.031742 51.525563, -0.031789 51.525642)",,0.03666853,9.84458256
"LINESTRING(-0.031789 51.525642, -0.03181 51.525677)",,0.03666853,9.84458256
"LINESTRING(-0.03181 51.525677, -0.031814 51.525684)",,0.03666853,9.84458256
"LINESTRING(-0.031814 51.525684, -0.031978 51.525655)",00:58,0.03666853,9.84458256
"LINESTRING(-0.031978 51.525655, -0.032065 51.525613)",01:00,0.03666853,9.84458256
"LINESTRING(-0.032065 51.525613, -0.032381 51.525536)",,0.09166661,17.41610718
"LINESTRING(-0.032381 51.525536, -0.032859 51.525416)",,0.09166661,17.41610718
"LINESTRING(-0.032859 51.525416, -0.033112 51.525355)",01:13,0.09166661,17.41610718
"LINESTRING(-0.033112 51.525355, -0.03325 51.525322)",,0.09166661,17.41610718
"LINESTRING(-0.03325 51.525322, -0.033289 51.525318)",,0.09166661,17.41610718
"LINESTRING(-0.033289 51.525318, -0.033408 51.525288)",,0.09166661,17.41610718
"LINESTRING(-0.033408 51.525288, -0.033481 51.525314)",,0.09166661,17.41610718
"LINESTRING(-0.033481 51.525314, -0.03356 51.525288)",,0.09166661,17.41610718
"LINESTRING(-0.03356 51.525288, -0.033641 51.525269)",,0.09166661,17.41610718
"LINESTRING(-0.033641 51.525269, -0.033694 51.525259)",,0.09166661,17.41610718
"LINESTRING(-0.033694 51.525259, -0.03392 51.525207)",,0.09166661,17.41610718
"LINESTRING(-0.03392 51.525207, -0.03408 51.525167)",01:25,0.09166661,17.41610718
"LINESTRING(-0.03408 51.525167, -0.034185 51.525139)",,0.09166661,17.41610718
"LINESTRING(-0.034185 51.525139, -0.034185 51.525103)",,0.09166661,17.41610718
"LINESTRING(-0.034185 51.525103, -0.034333 51.525061)",,0.09166661,17.41610718
"LINESTRING(-0.034333 51.525061, -0.034403 51.52504)",,0.09166661,17.41610718
"LINESTRING(-0.034403 51.52504, -0.034461 51.525025)",,0.09166661,17.41610718
"LINESTRING(-0.034461 51.525025, -0.034698 51.524989)",,0.09166661,17.41610718
"LINESTRING(-0.034698 51.524989, -0.034878 51.52493)",01:33,0.09166661,17.41610718
"LINESTRING(-0.034878 51.52493, -0.035072 51.524872)",,0.09166661,17.41610718
