Frame,FlowX,FlowY
1,0.079720534,0.01442667
2,0.12585236,0.016615905
3,-0.0016878129,0.026448384
4,-0.09882136,0.062569715
5,-0.09918934,0.026070919
6,-0.06317335,0.037412394
7,-0.1650486,0.08581558
8,-0.037099972,0.11337744
9,-0.04304005,-0.014468155
10,-0.3068619,-0.18943165
11,-0.33581597,-0.29577518
12,-0.4445407,-0.28861204
13,-0.96355987,-0.32880202
14,-0.85391235,-0.32942823
15,-0.5281922,-0.25738093
16,-0.73002,-0.16686234
17,-0.49769142,-0.12326125
18,-0.38441125,-0.15646607
19,-0.20284277,-0.026259212
20,-0.070146196,0.12567154
21,-0.5081585,0.094254166
22,-0.61219263,-0.006054306
23,-0.8403846,0.049087506
24,-1.2129556,0.14790073
25,-1.0931029,0.13224992
26,-1.2075012,0.0418413
27,-1.0722916,-0.023420563
28,-1.1232841,0.09142318
29,-1.177103,0.2097123
30,-1.1041582,0.1685521
31,-1.430122,0.07979211
32,-1.6103406,-0.10603197
33,-1.4742322,-0.18848215
34,-1.3694127,0.07529161
35,-1.2002105,0.42349893
36,-1.1044399,0.529756
37,-1.0752692,0.5658577
38,-1.2171402,0.5401037
39,-0.8643369,0.48664173
40,-0.854974,0.21962807
41,-0.6485118,-0.06490078
42,0.09721294,-0.19515683
43,0.25838244,-0.019926453
44,0.2104625,0.123690106
45,0.27135468,0.23126723
46,0.16370152,0.24684952
47,0.10442185,0.14028044
48,-0.14886034,0.07016327
49,-0.18766446,-0.032637328
50,-0.10537033,-0.1366451
51,-0.22955456,0.05431342
52,0.0974267,0.19022204
53,0.044005144,0.21680889
54,0.020226631,0.0075471685
55,-0.03705364,-0.15853162
56,-0.11532118,-0.14775944
57,-0.09349548,-0.05248396
58,-0.03471119,0.03496296
59,0.16730098,-0.002915821
60,0.1302946,-0.08206382
61,0.18103987,-0.14051041
62,0.1995717,-0.21466608
63,0.22175089,-0.217812
64,0.09402516,-0.20286976
65,0.16843122,-0.11030985
66,0.2794107,-0.033893395
67,0.14962195,0.012706986
68,0.1387173,-0.02199154
69,0.17802328,-0.10356142
70,0.032682933,-0.098618776
71,0.05529537,-0.03189417
72,0.2650806,-0.11415423
73,1.4181348,0.5814102
74,1.0244343,-0.8916974
75,0.82577866,0.28517112
76,-0.5352594,-1.2415376
77,-0.10428934,-0.58434993
78,-0.24857932,0.0037245941
79,0.2103553,-0.4370458
80,0.4723077,-0.17001574
81,0.49781716,-0.013139362
82,0.4289034,-0.11808693
83,0.33374402,-0.21054281
84,0.46118155,-0.15958335
85,0.5019589,-0.1274621
86,0.279613,-0.10968295
87,0.4382405,-0.1952555
88,-0.13248067,-0.80499303
89,0.17733149,-0.4298518
90,0.3022816,-0.24067104
91,0.44227493,-0.14895257
92,0.4748085,-0.25117233
93,0.36012417,-0.19953719
94,0.22437873,-0.11922336
95,0.30991352,0.0626701
96,0.19623066,-0.09712049
97,0.16678217,0.0901491
98,0.012982139,0.006434555
99,0.015953828,0.031167526
100,0.14490773,0.1886446
101,0.09281305,0.08825274
102,0.28545725,-0.013469734
103,0.083895035,-0.031066246
104,0.26083773,-0.056623936
105,0.25327802,-0.012569046
106,0.16899584,0.025630932
107,0.18188576,-0.027368698
108,0.25122786,-0.0796118
109,0.15738264,-0.047486972
110,0.5046653,0.07491592
111,0.8243644,0.15027405
112,0.83726144,0.09078684
113,0.7286368,0.042717896
114,0.98397154,0.030813618
